DUTS-TR-Image\0001.jpg DUTS-TR-Contour\0001.png
DUTS-TR-Image\0584.jpg DUTS-TR-Contour\0584.png
DUTS-TR-Image\0585.jpg DUTS-TR-Contour\0585.png
DUTS-TR-Image\0586.jpg DUTS-TR-Contour\0586.png
DUTS-TR-Image\0588.jpg DUTS-TR-Contour\0588.png
DUTS-TR-Image\0589.jpg DUTS-TR-Contour\0589.png
DUTS-TR-Image\0590.jpg DUTS-TR-Contour\0590.png
DUTS-TR-Image\0591.jpg DUTS-TR-Contour\0591.png
DUTS-TR-Image\0592.jpg DUTS-TR-Contour\0592.png
DUTS-TR-Image\0593.jpg DUTS-TR-Contour\0593.png
DUTS-TR-Image\0594.jpg DUTS-TR-Contour\0594.png
DUTS-TR-Image\0595.jpg DUTS-TR-Contour\0595.png
DUTS-TR-Image\0598.jpg DUTS-TR-Contour\0598.png
DUTS-TR-Image\0599.jpg DUTS-TR-Contour\0599.png
DUTS-TR-Image\0601.jpg DUTS-TR-Contour\0601.png
DUTS-TR-Image\0603.jpg DUTS-TR-Contour\0603.png
DUTS-TR-Image\0604.jpg DUTS-TR-Contour\0604.png
DUTS-TR-Image\0605.jpg DUTS-TR-Contour\0605.png
DUTS-TR-Image\0606.jpg DUTS-TR-Contour\0606.png
DUTS-TR-Image\0607.jpg DUTS-TR-Contour\0607.png
DUTS-TR-Image\0608.jpg DUTS-TR-Contour\0608.png
DUTS-TR-Image\0609.jpg DUTS-TR-Contour\0609.png
DUTS-TR-Image\0610.jpg DUTS-TR-Contour\0610.png
DUTS-TR-Image\0611.jpg DUTS-TR-Contour\0611.png
DUTS-TR-Image\0612.jpg DUTS-TR-Contour\0612.png
DUTS-TR-Image\0614.jpg DUTS-TR-Contour\0614.png
DUTS-TR-Image\0615.jpg DUTS-TR-Contour\0615.png
DUTS-TR-Image\0617.jpg DUTS-TR-Contour\0617.png
DUTS-TR-Image\0618.jpg DUTS-TR-Contour\0618.png
DUTS-TR-Image\0620.jpg DUTS-TR-Contour\0620.png
DUTS-TR-Image\0621.jpg DUTS-TR-Contour\0621.png
DUTS-TR-Image\0622.jpg DUTS-TR-Contour\0622.png
DUTS-TR-Image\0624.jpg DUTS-TR-Contour\0624.png
DUTS-TR-Image\0625.jpg DUTS-TR-Contour\0625.png
DUTS-TR-Image\0628.jpg DUTS-TR-Contour\0628.png
DUTS-TR-Image\0630.jpg DUTS-TR-Contour\0630.png
DUTS-TR-Image\0631.jpg DUTS-TR-Contour\0631.png
DUTS-TR-Image\0632.jpg DUTS-TR-Contour\0632.png
DUTS-TR-Image\0633.jpg DUTS-TR-Contour\0633.png
DUTS-TR-Image\0634.jpg DUTS-TR-Contour\0634.png
DUTS-TR-Image\0635.jpg DUTS-TR-Contour\0635.png
DUTS-TR-Image\0637.jpg DUTS-TR-Contour\0637.png
DUTS-TR-Image\0639.jpg DUTS-TR-Contour\0639.png
DUTS-TR-Image\0643.jpg DUTS-TR-Contour\0643.png
DUTS-TR-Image\0644.jpg DUTS-TR-Contour\0644.png
DUTS-TR-Image\0645.jpg DUTS-TR-Contour\0645.png
DUTS-TR-Image\0646.jpg DUTS-TR-Contour\0646.png
DUTS-TR-Image\0647.jpg DUTS-TR-Contour\0647.png
DUTS-TR-Image\0649.jpg DUTS-TR-Contour\0649.png
DUTS-TR-Image\0650.jpg DUTS-TR-Contour\0650.png
DUTS-TR-Image\0651.jpg DUTS-TR-Contour\0651.png
DUTS-TR-Image\0653.jpg DUTS-TR-Contour\0653.png
DUTS-TR-Image\0655.jpg DUTS-TR-Contour\0655.png
DUTS-TR-Image\0657.jpg DUTS-TR-Contour\0657.png
DUTS-TR-Image\0658.jpg DUTS-TR-Contour\0658.png
DUTS-TR-Image\0659.jpg DUTS-TR-Contour\0659.png
DUTS-TR-Image\0660.jpg DUTS-TR-Contour\0660.png
DUTS-TR-Image\0661.jpg DUTS-TR-Contour\0661.png
DUTS-TR-Image\0662.jpg DUTS-TR-Contour\0662.png
DUTS-TR-Image\0664.jpg DUTS-TR-Contour\0664.png
DUTS-TR-Image\0666.jpg DUTS-TR-Contour\0666.png
DUTS-TR-Image\0667.jpg DUTS-TR-Contour\0667.png
DUTS-TR-Image\0668.jpg DUTS-TR-Contour\0668.png
DUTS-TR-Image\0669.jpg DUTS-TR-Contour\0669.png
DUTS-TR-Image\0670.jpg DUTS-TR-Contour\0670.png
DUTS-TR-Image\0671.jpg DUTS-TR-Contour\0671.png
DUTS-TR-Image\0672.jpg DUTS-TR-Contour\0672.png
DUTS-TR-Image\0673.jpg DUTS-TR-Contour\0673.png
DUTS-TR-Image\0675.jpg DUTS-TR-Contour\0675.png
DUTS-TR-Image\0676.jpg DUTS-TR-Contour\0676.png
DUTS-TR-Image\0678.jpg DUTS-TR-Contour\0678.png
DUTS-TR-Image\0679.jpg DUTS-TR-Contour\0679.png
DUTS-TR-Image\0680.jpg DUTS-TR-Contour\0680.png
DUTS-TR-Image\0681.jpg DUTS-TR-Contour\0681.png
DUTS-TR-Image\0682.jpg DUTS-TR-Contour\0682.png
DUTS-TR-Image\0683.jpg DUTS-TR-Contour\0683.png
DUTS-TR-Image\0685.jpg DUTS-TR-Contour\0685.png
DUTS-TR-Image\0686.jpg DUTS-TR-Contour\0686.png
DUTS-TR-Image\0689.jpg DUTS-TR-Contour\0689.png
DUTS-TR-Image\0690.jpg DUTS-TR-Contour\0690.png
DUTS-TR-Image\0691.jpg DUTS-TR-Contour\0691.png
DUTS-TR-Image\0692.jpg DUTS-TR-Contour\0692.png
DUTS-TR-Image\0693.jpg DUTS-TR-Contour\0693.png
DUTS-TR-Image\0694.jpg DUTS-TR-Contour\0694.png
DUTS-TR-Image\0696.jpg DUTS-TR-Contour\0696.png
DUTS-TR-Image\0698.jpg DUTS-TR-Contour\0698.png
DUTS-TR-Image\0699.jpg DUTS-TR-Contour\0699.png
DUTS-TR-Image\0701.jpg DUTS-TR-Contour\0701.png
DUTS-TR-Image\0702.jpg DUTS-TR-Contour\0702.png
DUTS-TR-Image\0703.jpg DUTS-TR-Contour\0703.png
DUTS-TR-Image\0704.jpg DUTS-TR-Contour\0704.png
DUTS-TR-Image\0705.jpg DUTS-TR-Contour\0705.png
DUTS-TR-Image\0708.jpg DUTS-TR-Contour\0708.png
DUTS-TR-Image\0709.jpg DUTS-TR-Contour\0709.png
DUTS-TR-Image\0710.jpg DUTS-TR-Contour\0710.png
DUTS-TR-Image\0711.jpg DUTS-TR-Contour\0711.png
DUTS-TR-Image\0712.jpg DUTS-TR-Contour\0712.png
DUTS-TR-Image\0717.jpg DUTS-TR-Contour\0717.png
DUTS-TR-Image\0719.jpg DUTS-TR-Contour\0719.png
DUTS-TR-Image\0720.jpg DUTS-TR-Contour\0720.png
DUTS-TR-Image\0721.jpg DUTS-TR-Contour\0721.png
DUTS-TR-Image\0723.jpg DUTS-TR-Contour\0723.png
DUTS-TR-Image\0725.jpg DUTS-TR-Contour\0725.png
DUTS-TR-Image\0727.jpg DUTS-TR-Contour\0727.png
DUTS-TR-Image\0728.jpg DUTS-TR-Contour\0728.png
DUTS-TR-Image\0730.jpg DUTS-TR-Contour\0730.png
DUTS-TR-Image\0731.jpg DUTS-TR-Contour\0731.png
DUTS-TR-Image\0732.jpg DUTS-TR-Contour\0732.png
DUTS-TR-Image\0733.jpg DUTS-TR-Contour\0733.png
DUTS-TR-Image\0735.jpg DUTS-TR-Contour\0735.png
DUTS-TR-Image\0736.jpg DUTS-TR-Contour\0736.png
DUTS-TR-Image\0737.jpg DUTS-TR-Contour\0737.png
DUTS-TR-Image\0738.jpg DUTS-TR-Contour\0738.png
DUTS-TR-Image\0742.jpg DUTS-TR-Contour\0742.png
DUTS-TR-Image\0743.jpg DUTS-TR-Contour\0743.png
DUTS-TR-Image\0744.jpg DUTS-TR-Contour\0744.png
DUTS-TR-Image\0746.jpg DUTS-TR-Contour\0746.png
DUTS-TR-Image\0747.jpg DUTS-TR-Contour\0747.png
DUTS-TR-Image\0748.jpg DUTS-TR-Contour\0748.png
DUTS-TR-Image\0753.jpg DUTS-TR-Contour\0753.png
DUTS-TR-Image\0755.jpg DUTS-TR-Contour\0755.png
DUTS-TR-Image\0756.jpg DUTS-TR-Contour\0756.png
DUTS-TR-Image\0758.jpg DUTS-TR-Contour\0758.png
DUTS-TR-Image\0760.jpg DUTS-TR-Contour\0760.png
DUTS-TR-Image\0761.jpg DUTS-TR-Contour\0761.png
DUTS-TR-Image\0762.jpg DUTS-TR-Contour\0762.png
DUTS-TR-Image\0763.jpg DUTS-TR-Contour\0763.png
DUTS-TR-Image\0764.jpg DUTS-TR-Contour\0764.png
DUTS-TR-Image\0765.jpg DUTS-TR-Contour\0765.png
DUTS-TR-Image\0766.jpg DUTS-TR-Contour\0766.png
DUTS-TR-Image\0767.jpg DUTS-TR-Contour\0767.png
DUTS-TR-Image\0769.jpg DUTS-TR-Contour\0769.png
DUTS-TR-Image\0771.jpg DUTS-TR-Contour\0771.png
DUTS-TR-Image\0773.jpg DUTS-TR-Contour\0773.png
DUTS-TR-Image\0774.jpg DUTS-TR-Contour\0774.png
DUTS-TR-Image\0775.jpg DUTS-TR-Contour\0775.png
DUTS-TR-Image\0776.jpg DUTS-TR-Contour\0776.png
DUTS-TR-Image\0781.jpg DUTS-TR-Contour\0781.png
DUTS-TR-Image\0782.jpg DUTS-TR-Contour\0782.png
DUTS-TR-Image\0783.jpg DUTS-TR-Contour\0783.png
DUTS-TR-Image\0784.jpg DUTS-TR-Contour\0784.png
DUTS-TR-Image\0787.jpg DUTS-TR-Contour\0787.png
DUTS-TR-Image\0789.jpg DUTS-TR-Contour\0789.png
DUTS-TR-Image\0790.jpg DUTS-TR-Contour\0790.png
DUTS-TR-Image\0793.jpg DUTS-TR-Contour\0793.png
DUTS-TR-Image\0795.jpg DUTS-TR-Contour\0795.png
DUTS-TR-Image\0796.jpg DUTS-TR-Contour\0796.png
DUTS-TR-Image\0797.jpg DUTS-TR-Contour\0797.png
DUTS-TR-Image\0801.jpg DUTS-TR-Contour\0801.png
DUTS-TR-Image\0803.jpg DUTS-TR-Contour\0803.png
DUTS-TR-Image\0805.jpg DUTS-TR-Contour\0805.png
DUTS-TR-Image\0806.jpg DUTS-TR-Contour\0806.png
DUTS-TR-Image\0807.jpg DUTS-TR-Contour\0807.png
DUTS-TR-Image\0808.jpg DUTS-TR-Contour\0808.png
DUTS-TR-Image\0809.jpg DUTS-TR-Contour\0809.png
DUTS-TR-Image\0811.jpg DUTS-TR-Contour\0811.png
DUTS-TR-Image\0812.jpg DUTS-TR-Contour\0812.png
DUTS-TR-Image\0814.jpg DUTS-TR-Contour\0814.png
DUTS-TR-Image\0816.jpg DUTS-TR-Contour\0816.png
DUTS-TR-Image\0821.jpg DUTS-TR-Contour\0821.png
DUTS-TR-Image\0822.jpg DUTS-TR-Contour\0822.png
DUTS-TR-Image\0823.jpg DUTS-TR-Contour\0823.png
DUTS-TR-Image\0824.jpg DUTS-TR-Contour\0824.png
DUTS-TR-Image\0825.jpg DUTS-TR-Contour\0825.png
DUTS-TR-Image\0826.jpg DUTS-TR-Contour\0826.png
DUTS-TR-Image\0827.jpg DUTS-TR-Contour\0827.png
DUTS-TR-Image\0828.jpg DUTS-TR-Contour\0828.png
DUTS-TR-Image\0829.jpg DUTS-TR-Contour\0829.png
DUTS-TR-Image\0830.jpg DUTS-TR-Contour\0830.png
DUTS-TR-Image\0831.jpg DUTS-TR-Contour\0831.png
DUTS-TR-Image\0832.jpg DUTS-TR-Contour\0832.png
DUTS-TR-Image\0833.jpg DUTS-TR-Contour\0833.png
DUTS-TR-Image\0834.jpg DUTS-TR-Contour\0834.png
DUTS-TR-Image\0835.jpg DUTS-TR-Contour\0835.png
DUTS-TR-Image\0836.jpg DUTS-TR-Contour\0836.png
DUTS-TR-Image\0837.jpg DUTS-TR-Contour\0837.png
DUTS-TR-Image\0838.jpg DUTS-TR-Contour\0838.png
DUTS-TR-Image\0839.jpg DUTS-TR-Contour\0839.png
DUTS-TR-Image\0842.jpg DUTS-TR-Contour\0842.png
DUTS-TR-Image\0843.jpg DUTS-TR-Contour\0843.png
DUTS-TR-Image\0844.jpg DUTS-TR-Contour\0844.png
DUTS-TR-Image\0845.jpg DUTS-TR-Contour\0845.png
DUTS-TR-Image\0846.jpg DUTS-TR-Contour\0846.png
DUTS-TR-Image\0848.jpg DUTS-TR-Contour\0848.png
DUTS-TR-Image\0849.jpg DUTS-TR-Contour\0849.png
DUTS-TR-Image\0853.jpg DUTS-TR-Contour\0853.png
DUTS-TR-Image\0854.jpg DUTS-TR-Contour\0854.png
DUTS-TR-Image\0856.jpg DUTS-TR-Contour\0856.png
DUTS-TR-Image\0858.jpg DUTS-TR-Contour\0858.png
DUTS-TR-Image\0859.jpg DUTS-TR-Contour\0859.png
DUTS-TR-Image\0861.jpg DUTS-TR-Contour\0861.png
DUTS-TR-Image\0862.jpg DUTS-TR-Contour\0862.png
DUTS-TR-Image\0863.jpg DUTS-TR-Contour\0863.png
DUTS-TR-Image\0864.jpg DUTS-TR-Contour\0864.png
DUTS-TR-Image\0866.jpg DUTS-TR-Contour\0866.png
DUTS-TR-Image\0867.jpg DUTS-TR-Contour\0867.png
DUTS-TR-Image\0869.jpg DUTS-TR-Contour\0869.png
DUTS-TR-Image\0871.jpg DUTS-TR-Contour\0871.png
DUTS-TR-Image\0872.jpg DUTS-TR-Contour\0872.png
DUTS-TR-Image\0873.jpg DUTS-TR-Contour\0873.png
DUTS-TR-Image\0874.jpg DUTS-TR-Contour\0874.png
DUTS-TR-Image\0877.jpg DUTS-TR-Contour\0877.png
DUTS-TR-Image\0879.jpg DUTS-TR-Contour\0879.png
DUTS-TR-Image\0880.jpg DUTS-TR-Contour\0880.png
DUTS-TR-Image\0881.jpg DUTS-TR-Contour\0881.png
DUTS-TR-Image\0882.jpg DUTS-TR-Contour\0882.png
DUTS-TR-Image\0883.jpg DUTS-TR-Contour\0883.png
DUTS-TR-Image\0884.jpg DUTS-TR-Contour\0884.png
DUTS-TR-Image\0885.jpg DUTS-TR-Contour\0885.png
DUTS-TR-Image\0886.jpg DUTS-TR-Contour\0886.png
DUTS-TR-Image\0887.jpg DUTS-TR-Contour\0887.png
DUTS-TR-Image\0888.jpg DUTS-TR-Contour\0888.png
DUTS-TR-Image\0889.jpg DUTS-TR-Contour\0889.png
DUTS-TR-Image\0892.jpg DUTS-TR-Contour\0892.png
DUTS-TR-Image\0895.jpg DUTS-TR-Contour\0895.png
DUTS-TR-Image\0896.jpg DUTS-TR-Contour\0896.png
DUTS-TR-Image\0898.jpg DUTS-TR-Contour\0898.png
DUTS-TR-Image\0899.jpg DUTS-TR-Contour\0899.png
DUTS-TR-Image\0900.jpg DUTS-TR-Contour\0900.png
DUTS-TR-Image\0902.jpg DUTS-TR-Contour\0902.png
DUTS-TR-Image\0903.jpg DUTS-TR-Contour\0903.png
DUTS-TR-Image\0905.jpg DUTS-TR-Contour\0905.png
DUTS-TR-Image\0907.jpg DUTS-TR-Contour\0907.png
DUTS-TR-Image\0908.jpg DUTS-TR-Contour\0908.png
DUTS-TR-Image\0911.jpg DUTS-TR-Contour\0911.png
DUTS-TR-Image\0912.jpg DUTS-TR-Contour\0912.png
DUTS-TR-Image\0913.jpg DUTS-TR-Contour\0913.png
DUTS-TR-Image\0915.jpg DUTS-TR-Contour\0915.png
DUTS-TR-Image\0916.jpg DUTS-TR-Contour\0916.png
DUTS-TR-Image\0917.jpg DUTS-TR-Contour\0917.png
DUTS-TR-Image\0918.jpg DUTS-TR-Contour\0918.png
DUTS-TR-Image\0919.jpg DUTS-TR-Contour\0919.png
DUTS-TR-Image\0921.jpg DUTS-TR-Contour\0921.png
DUTS-TR-Image\0922.jpg DUTS-TR-Contour\0922.png
DUTS-TR-Image\0923.jpg DUTS-TR-Contour\0923.png
DUTS-TR-Image\0924.jpg DUTS-TR-Contour\0924.png
DUTS-TR-Image\0927.jpg DUTS-TR-Contour\0927.png
DUTS-TR-Image\0928.jpg DUTS-TR-Contour\0928.png
DUTS-TR-Image\0929.jpg DUTS-TR-Contour\0929.png
DUTS-TR-Image\0931.jpg DUTS-TR-Contour\0931.png
DUTS-TR-Image\0932.jpg DUTS-TR-Contour\0932.png
DUTS-TR-Image\0933.jpg DUTS-TR-Contour\0933.png
DUTS-TR-Image\0936.jpg DUTS-TR-Contour\0936.png
DUTS-TR-Image\0937.jpg DUTS-TR-Contour\0937.png
DUTS-TR-Image\0938.jpg DUTS-TR-Contour\0938.png
DUTS-TR-Image\0939.jpg DUTS-TR-Contour\0939.png
DUTS-TR-Image\0941.jpg DUTS-TR-Contour\0941.png
DUTS-TR-Image\0943.jpg DUTS-TR-Contour\0943.png
DUTS-TR-Image\0944.jpg DUTS-TR-Contour\0944.png
DUTS-TR-Image\0945.jpg DUTS-TR-Contour\0945.png
DUTS-TR-Image\0946.jpg DUTS-TR-Contour\0946.png
DUTS-TR-Image\0947.jpg DUTS-TR-Contour\0947.png
DUTS-TR-Image\0948.jpg DUTS-TR-Contour\0948.png
DUTS-TR-Image\0950.jpg DUTS-TR-Contour\0950.png
DUTS-TR-Image\0951.jpg DUTS-TR-Contour\0951.png
DUTS-TR-Image\0952.jpg DUTS-TR-Contour\0952.png
DUTS-TR-Image\0953.jpg DUTS-TR-Contour\0953.png
DUTS-TR-Image\0954.jpg DUTS-TR-Contour\0954.png
DUTS-TR-Image\0955.jpg DUTS-TR-Contour\0955.png
DUTS-TR-Image\0958.jpg DUTS-TR-Contour\0958.png
DUTS-TR-Image\0959.jpg DUTS-TR-Contour\0959.png
DUTS-TR-Image\0960.jpg DUTS-TR-Contour\0960.png
DUTS-TR-Image\0961.jpg DUTS-TR-Contour\0961.png
DUTS-TR-Image\0962.jpg DUTS-TR-Contour\0962.png
DUTS-TR-Image\0963.jpg DUTS-TR-Contour\0963.png
DUTS-TR-Image\0964.jpg DUTS-TR-Contour\0964.png
DUTS-TR-Image\0965.jpg DUTS-TR-Contour\0965.png
DUTS-TR-Image\0967.jpg DUTS-TR-Contour\0967.png
DUTS-TR-Image\0968.jpg DUTS-TR-Contour\0968.png
DUTS-TR-Image\0969.jpg DUTS-TR-Contour\0969.png
DUTS-TR-Image\0970.jpg DUTS-TR-Contour\0970.png
DUTS-TR-Image\0973.jpg DUTS-TR-Contour\0973.png
DUTS-TR-Image\0974.jpg DUTS-TR-Contour\0974.png
DUTS-TR-Image\0975.jpg DUTS-TR-Contour\0975.png
DUTS-TR-Image\0976.jpg DUTS-TR-Contour\0976.png
DUTS-TR-Image\0978.jpg DUTS-TR-Contour\0978.png
DUTS-TR-Image\0979.jpg DUTS-TR-Contour\0979.png
DUTS-TR-Image\0980.jpg DUTS-TR-Contour\0980.png
DUTS-TR-Image\0982.jpg DUTS-TR-Contour\0982.png
DUTS-TR-Image\0983.jpg DUTS-TR-Contour\0983.png
DUTS-TR-Image\0984.jpg DUTS-TR-Contour\0984.png
DUTS-TR-Image\0985.jpg DUTS-TR-Contour\0985.png
DUTS-TR-Image\0987.jpg DUTS-TR-Contour\0987.png
DUTS-TR-Image\0988.jpg DUTS-TR-Contour\0988.png
DUTS-TR-Image\0989.jpg DUTS-TR-Contour\0989.png
DUTS-TR-Image\0990.jpg DUTS-TR-Contour\0990.png
DUTS-TR-Image\0991.jpg DUTS-TR-Contour\0991.png
DUTS-TR-Image\0992.jpg DUTS-TR-Contour\0992.png
DUTS-TR-Image\0995.jpg DUTS-TR-Contour\0995.png
DUTS-TR-Image\0996.jpg DUTS-TR-Contour\0996.png
DUTS-TR-Image\0998.jpg DUTS-TR-Contour\0998.png
